winery,wine,year,rating,rating_norm,price,price_group,region,body,acidity,quality_price_percent
Sierra Cantabria,Magico,2016,4.8,0.8571428571428564,544.5,mid,Rioja,4.0,3.0,51.6798418972332
Teso La Monja,Tinto,2011,4.8,0.8571428571428564,1295.0,high,Toro,5.0,3.0,72.54901960784315
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2017,4.8,0.8571428571428564,992.2,mid,Priorato,4.0,3.0,49.308300395256914
Teso La Monja,Tinto,2015,4.8,0.8571428571428564,1289.44,high,Toro,5.0,3.0,73.52941176470588
Descendientes de J. Palacios,La Faraona Bierzo (Corullon),2017,4.8,0.8571428571428564,1098.9,high,Bierzo,4.0,3.0,90.19607843137256
La Rioja Alta,Gran Reserva 890,1985,4.8,0.8571428571428564,215.34,mid,Rioja,4.0,3.0,59.21442687747036
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2018,4.8,0.8571428571428564,1094.9,high,Priorato,4.0,3.0,91.1764705882353
Vega Sicilia,Unico Reserva Especial Edicion,,4.7,0.7142857142857141,423.5,mid,Ribera del Duero,5.0,3.0,49.70355731225297
Vega Sicilia,Valbuena 5o,2010,4.7,0.7142857142857141,239.5,mid,Ribera del Duero,5.0,3.0,54.81719367588933
Vega Sicilia,Valbuena 5o,2014,4.7,0.7142857142857141,175.5,mid,Ribera del Duero,5.0,3.0,59.65909090909092
Vega Sicilia,Valbuena 5o,2006,4.7,0.7142857142857141,194.0,mid,Ribera del Duero,5.0,3.0,58.02865612648221
Vega Sicilia,Unico,2005,4.7,0.7142857142857141,381.15,mid,Ribera del Duero,5.0,3.0,50.19762845849802
Vega Sicilia,Unico,2004,4.7,0.7142857142857141,584.43,mid,Ribera del Duero,5.0,3.0,48.369565217391305
Vega Sicilia,Unico,2000,4.7,0.7142857142857141,555.2,mid,Ribera del Duero,5.0,3.0,48.51778656126483
Vega Sicilia,Unico,2007,4.7,0.7142857142857141,445.28,mid,Ribera del Duero,5.0,3.0,49.35770750988142
Vega Sicilia,Valbuena 5o,2015,4.7,0.7142857142857141,189.0,mid,Ribera del Duero,5.0,3.0,58.64624505928854
Vega Sicilia,Unico,2006,4.7,0.7142857142857141,362.25,mid,Ribera del Duero,5.0,3.0,50.64229249011858
Vega Sicilia,Unico,2008,4.7,0.7142857142857141,289.0,mid,Ribera del Duero,5.0,3.0,52.816205533596836
Vega Sicilia,Unico,2003,4.7,0.7142857142857141,325.0,mid,Ribera del Duero,5.0,3.0,51.358695652173914
Vega Sicilia,Valbuena 5o,2016,4.7,0.7142857142857141,107.57,mid,Ribera del Duero,5.0,3.0,69.21936758893281
Vega Sicilia,Valbuena 5o,2005,4.7,0.7142857142857141,234.0,mid,Ribera del Duero,5.0,3.0,55.13833992094862
Vega Sicilia,Unico,2002,4.7,0.7142857142857141,500.94,mid,Ribera del Duero,5.0,3.0,48.91304347826087
Vega Sicilia,Unico,1991,4.7,0.7142857142857141,698.9,mid,Ribera del Duero,5.0,3.0,47.97430830039526
Vega Sicilia,Unico,1994,4.7,0.7142857142857141,872.47,mid,Ribera del Duero,5.0,3.0,46.98616600790514
Vega Sicilia,Unico Reserva Especial Edicion,2000,4.7,0.7142857142857141,877.85,mid,Ribera del Duero,5.0,3.0,46.887351778656125
Vega Sicilia,Unico,1990,4.7,0.7142857142857141,827.94,mid,Ribera del Duero,5.0,3.0,47.0602766798419
Pago de Carraovejas,Cuesta de Las Liebres,2014,4.7,0.7142857142857141,113.18,mid,Ribera del Duero,5.0,3.0,68.18181818181819
Vega Sicilia,Unico,1989,4.7,0.7142857142857141,679.72,mid,Ribera del Duero,5.0,3.0,48.12252964426877
Vega Sicilia,Unico,1987,4.7,0.7142857142857141,787.59,mid,Ribera del Duero,5.0,3.0,47.5296442687747
Vega Sicilia,Unico Reserva Especial Edicion,2017,4.7,0.7142857142857141,480.06,mid,Ribera del Duero,5.0,3.0,49.11067193675889
Pago de Carraovejas,El Anejon,2015,4.7,0.7142857142857141,75.1,mid,Ribera del Duero,5.0,3.0,79.59486166007905
Bodegas El Nido,El Nido,2014,4.7,0.7142857142857141,154.9,mid,Jumilla,4.0,3.0,61.709486166007906
Bodegas El Nido,El Nido,2013,4.7,0.7142857142857141,145.0,mid,Jumilla,4.0,3.0,62.87055335968379
Vega Sicilia,Unico Reserva Especial Edicion,1996,4.7,0.7142857142857141,290.0,mid,Ribera del Duero,5.0,3.0,52.766798418972336
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Blanco,1986,4.7,0.7142857142857141,795.0,mid,Rioja,3.0,3.0,47.4802371541502
Bodegas El Nido,El Nido,2016,4.7,0.7142857142857141,371.78009750522,mid,Jumilla,4.0,3.0,50.49407114624507
Bodegas El Nido,El Nido,2008,4.7,0.7142857142857141,134.19,mid,Jumilla,4.0,3.0,64.42687747035573
Vinedos de Paganos,La Nieta,2015,4.7,0.7142857142857141,82.58,mid,Rioja,4.0,3.0,75.93873517786561
Vega Sicilia,Unico,1981,4.7,0.7142857142857141,873.86,mid,Ribera del Duero,5.0,3.0,46.93675889328063
Vega Sicilia,Unico Reserva Especial Edicion,2007,4.7,0.7142857142857141,774.4,mid,Ribera del Duero,5.0,3.0,47.62845849802372
Emilio Moro,Malleolus de Valderramiro,2016,4.7,0.7142857142857141,84.95,mid,Ribera del Duero,5.0,3.0,75.46936758893281
Dominio de Pingus,Pingus,2001,4.7,0.7142857142857141,940.0,mid,Ribera del Duero,5.0,3.0,46.46739130434783
Vega Sicilia,Unico,1986,4.7,0.7142857142857141,812.63,mid,Ribera del Duero,5.0,3.0,47.38142292490119
Emilio Moro,Malleolus de Sanchomartin,2016,4.7,0.7142857142857141,116.54,mid,Ribera del Duero,5.0,3.0,67.4407114624506
Dominio de Pingus,Pingus,2004,4.7,0.7142857142857141,1500.0,high,Ribera del Duero,5.0,3.0,45.588235294117645
Dominio de Pingus,Pingus,2006,4.7,0.7142857142857141,1190.0,high,Ribera del Duero,5.0,3.0,69.11764705882352
Bodegas El Nido,El Nido,2017,4.7,0.7142857142857141,154.85,mid,Jumilla,4.0,3.0,61.75889328063241
Teso La Monja,Alabaster,2016,4.7,0.7142857142857141,135.0,mid,Toro,5.0,3.0,64.22924901185772
Quinta de la Quietud,La Mula de la Quietud,2015,4.7,0.7142857142857141,63.75,mid,Toro,5.0,3.0,86.41304347826086
Vega Sicilia,Unico,1985,4.7,0.7142857142857141,827.94,mid,Ribera del Duero,5.0,3.0,47.0602766798419
Bodegas Mauro,Terreus Paraje de Cueva Baja,2017,4.7,0.7142857142857141,66.07,mid,Castilla y Leon,4.0,2.0,84.43675889328064
Bodega Contador (Benjamin Romeo),Contador Rioja,2012,4.7,0.7142857142857141,213.9,mid,Rioja,4.0,3.0,56.22529644268774
Remirez de Ganuza,Maria Remirez de Ganuza,2006,4.7,0.7142857142857141,234.9,mid,Rioja,4.0,3.0,55.08893280632411
Vega Sicilia,Unico,1968,4.7,0.7142857142857141,2087.25,high,Ribera del Duero,5.0,3.0,36.27450980392157
Vinedos de Paganos,La Nieta,2018,4.7,0.7142857142857141,89.9,mid,Rioja,4.0,3.0,73.7401185770751
Vega Sicilia,Unico,1964,4.7,0.7142857142857141,1384.54,high,Ribera del Duero,5.0,3.0,50.0
Vega Sicilia,Unico,1982,4.7,0.7142857142857141,820.98,mid,Ribera del Duero,5.0,3.0,47.183794466403164
Dominio de Pingus,Pingus,2015,4.7,0.7142857142857141,1250.0,high,Ribera del Duero,5.0,3.0,64.21568627450979
Vega Sicilia,Unico Reserva Especial Edicion,1995,4.7,0.7142857142857141,1500.0,high,Ribera del Duero,5.0,3.0,45.588235294117645
Dominio de Pingus,Pingus,1999,4.7,0.7142857142857141,1715.18,high,Ribera del Duero,5.0,3.0,39.21568627450981
Vega Sicilia,Unico,1974,4.7,0.7142857142857141,932.3,mid,Ribera del Duero,5.0,3.0,46.566205533596836
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1998,4.7,0.7142857142857141,1372.14,high,Priorato,4.0,3.0,53.431372549019606
Bodegas San Roman,Cartago Paraje de Pozo,2015,4.7,0.7142857142857141,78.9,mid,Toro,5.0,3.0,77.8903162055336
Vega Sicilia,Unico Reserva Especial Edicion,2012,4.7,0.7142857142857141,660.96,mid,Ribera del Duero,5.0,3.0,48.17193675889328
Pago de Los Capellanes,Parcela El Picon Tinto,2009,4.7,0.7142857142857141,154.0,mid,Ribera del Duero,5.0,3.0,61.90711462450593
Vega Sicilia,Valbuena 5o,2017,4.7,0.7142857142857141,134.89,mid,Ribera del Duero,5.0,3.0,64.32806324110672
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2000,4.7,0.7142857142857141,1422.96,high,Priorato,4.0,3.0,47.05882352941176
Bodega Numanthia,Termanthia,2005,4.7,0.7142857142857141,207.11,mid,Toro,5.0,3.0,56.595849802371546
Vega Sicilia,Unico Reserva Especial Edicion,2011,4.7,0.7142857142857141,340.49,mid,Ribera del Duero,5.0,3.0,51.23517786561265
Emilio Moro,Clon De La Familia,2010,4.7,0.7142857142857141,317.63,mid,Ribera del Duero,5.0,3.0,51.655138339920946
Alto Moncayo,Aquilon Garnacha,2011,4.7,0.7142857142857141,108.9,mid,Campo de Borja,5.0,3.0,69.0217391304348
Vega Sicilia,Unico,1983,4.7,0.7142857142857141,700.0,mid,Ribera del Duero,5.0,3.0,47.87549407114625
Toro Albala,Don PX Convento Seleccion,1955,4.7,0.7142857142857141,185.0,mid,Montilla-Moriles,5.0,1.0,58.992094861660085
Vega Sicilia,Unico,1980,4.7,0.7142857142857141,911.43,mid,Ribera del Duero,5.0,3.0,46.73913043478261
Bodega Contador (Benjamin Romeo),Contador Rioja,2005,4.7,0.7142857142857141,1150.0,high,Rioja,4.0,3.0,72.05882352941177
Vega Sicilia,Unico,1972,4.7,0.7142857142857141,698.95,mid,Ribera del Duero,5.0,3.0,47.92490118577075
Bodega Numanthia,Termanthia,2004,4.7,0.7142857142857141,2814.16,high,Toro,5.0,3.0,33.33333333333333
Teso La Monja,Tinto,2010,4.7,0.7142857142857141,1325.0,high,Toro,5.0,3.0,57.843137254901954
Alvaro Palacios,Quinon de Valmira,2015,4.7,0.7142857142857141,527.26,mid,Rioja,4.0,3.0,48.66600790513834
Vega Sicilia,Unico Reserva Especial Edicion,1987,4.7,0.7142857142857141,1071.45,high,Ribera del Duero,5.0,3.0,79.41176470588236
Mas Doix,1902 Centenary Carignan Priorat,2015,4.7,0.7142857142857141,299.0,mid,Priorato,4.0,3.0,52.32213438735178
Finca Moncloa,Tintilla de Rota,2016,4.7,0.7142857142857141,43.13,low,Cadiz,4.0,3.0,56.370558375634516
Vega Sicilia,Unico,1953,4.7,0.7142857142857141,1207.6,high,Ribera del Duero,5.0,3.0,66.66666666666666
Bodegas Roda,Cirsion Rioja,2000,4.7,0.7142857142857141,175.0,mid,Rioja,4.0,3.0,59.733201581027664
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2015,4.7,0.7142857142857141,1252.35,high,Priorato,4.0,3.0,62.745098039215684
Bodegas El Nido,El Nido,2019,4.7,0.7142857142857141,145.9,mid,Jumilla,4.0,3.0,62.69762845849802
Mas Doix,1902 Centenary Carignan Priorat,2013,4.7,0.7142857142857141,447.95,mid,Priorato,4.0,3.0,49.308300395256914
Vega Sicilia,Unico Reserva Especial Edicion,2006,4.7,0.7142857142857141,813.96,mid,Ribera del Duero,5.0,3.0,47.30731225296443
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2005,4.7,0.7142857142857141,1410.26,high,Priorato,4.0,3.0,48.529411764705884
Martinet,Cami Pesseroles,2006,4.7,0.7142857142857141,182.9,mid,Priorato,4.0,3.0,59.04150197628459
Recaredo,Turo d'en Mota,2007,4.7,0.7142857142857141,99.0,mid,Cava,2.0,3.0,70.52865612648222
Vega Sicilia,Unico Reserva Especial Edicion,1986,4.7,0.7142857142857141,1113.2,high,Ribera del Duero,5.0,3.0,73.52941176470588
Clos Erasmus,Priorat,2007,4.7,0.7142857142857141,654.31,mid,Priorato,4.0,3.0,48.27075098814229
Pago de Los Capellanes,Parcela El Picon Tinto,2016,4.7,0.7142857142857141,134.26,mid,Ribera del Duero,5.0,3.0,64.37747035573122
Barbadillo,Reliquia Palo Cortado Sherry,,4.7,0.7142857142857141,380.0,mid,Jerez Palo Cortado,4.0,3.0,50.24703557312253
La Rioja Alta,Gran Reserva 890,1982,4.7,0.7142857142857141,292.09,mid,Rioja,4.0,3.0,52.61857707509881
Gonzalez-Byass,Anada Palo Cortado 1987,1987,4.7,0.7142857142857141,400.85,mid,Jerez Palo Cortado,4.0,3.0,49.851778656126484
Clos Erasmus,Daphne Glorian Red,2007,4.7,0.7142857142857141,202.01,mid,Priorato,4.0,3.0,56.86758893280632
Toro Albala,Don PX Pedro Ximenez,1955,4.7,0.7142857142857141,250.0,mid,Montilla-Moriles,5.0,1.0,54.051383399209485
Vinedos de Paganos,La Nieta,2019,4.7,0.7142857142857141,88.9,mid,Rioja,4.0,3.0,74.2094861660079
Bodegas Amaren,El Regollar,2016,4.7,0.7142857142857141,77.9,mid,Rioja,4.0,3.0,78.33498023715416
Toro Albala,Don PX Convento Seleccion,1958,4.7,0.7142857142857141,191.61,mid,Montilla-Moriles,5.0,1.0,58.20158102766799
Teso La Monja,Alabaster,2018,4.7,0.7142857142857141,123.89,mid,Toro,5.0,3.0,66.05731225296442
Alvear,Abuelo Diego Palo Cortado,,4.7,0.7142857142857141,114.28,mid,Montilla-Moriles,5.0,1.0,67.98418972332017
Equipo Navazos,La Bota 78 de Oloroso,,4.7,0.7142857142857141,95.57,mid,Manzanilla,4.0,3.0,71.19565217391303
Morca,Touran,2018,4.7,0.7142857142857141,93.95,mid,Campo de Borja,5.0,3.0,72.08498023715416
Territorio Luthier,Luthier Gran Reserva,2012,4.7,0.7142857142857141,248.0,mid,Ribera del Duero,5.0,3.0,54.347826086956516
Artadi,Vina El Pison,1995,4.7,0.7142857142857141,397.0,mid,Vino de Espana,4.0,2.0,50.0
Rafael Palacios,Sorte O Soro Val do Bibei,2019,4.7,0.7142857142857141,194.86,mid,Valdeorras,,,57.95454545454546
Recaredo,Reserva Particular de Recaredo Brut Nature,2011,4.7,0.7142857142857141,65.05,mid,Cava,2.0,3.0,84.98023715415019
Bodegas Mauro,Terreus Paraje de Cueva Baja,2019,4.7,0.7142857142857141,86.9,mid,Castilla y Leon,4.0,2.0,74.70355731225297
Vina Sastre,Pesus Ribera del Duero,2004,4.7,0.7142857142857141,472.5,mid,Ribera del Duero,5.0,3.0,49.1600790513834
Terra Remota,Usted,2010,4.7,0.7142857142857141,379.0,mid,Emporda,4.0,3.0,50.32114624505929
Dehesa de Los Canonigos,Gran Reserva,2001,4.7,0.7142857142857141,185.15,mid,Ribera del Duero,5.0,3.0,58.94268774703557
Vina Sastre,Regina Vides Ribera del Duero,1998,4.7,0.7142857142857141,94.2,mid,Ribera del Duero,5.0,3.0,72.03557312252964
Miguel Merino,La Loma,2018,4.7,0.7142857142857141,46.0,low,Rioja Alta,4.0,3.0,53.78172588832487
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2016,4.7,0.7142857142857141,919.6,mid,Priorato,4.0,3.0,46.68972332015811
Gutierrez de la Vega,Recondita Armonia Monastrell Dulce,1987,4.7,0.7142857142857141,81.9,mid,Alicante,4.0,3.0,76.28458498023716
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,1942,4.7,0.7142857142857141,680.0,mid,Rioja,4.0,3.0,48.073122529644266
Vega Sicilia,Valbuena 5o,2011,4.6,0.5714285714285705,218.0,mid,Ribera del Duero,5.0,3.0,49.92588932806324
Vega Sicilia,Valbuena 5o,2012,4.6,0.5714285714285705,177.0,mid,Ribera del Duero,5.0,3.0,53.433794466403164
Vega Sicilia,Valbuena 5o,2008,4.6,0.5714285714285705,187.3,mid,Ribera del Duero,5.0,3.0,52.890316205533594
Vega Sicilia,Valbuena 5o,2007,4.6,0.5714285714285705,195.59,mid,Ribera del Duero,5.0,3.0,51.50691699604744
Vega Sicilia,Valbuena 5o,2013,4.6,0.5714285714285705,135.0,mid,Ribera del Duero,5.0,3.0,58.275691699604735
Vega Sicilia,Valbuena 5o,2009,4.6,0.5714285714285705,225.2,mid,Ribera del Duero,5.0,3.0,49.6294466403162
Alion,Ribera del Duero,2016,4.6,0.5714285714285705,79.8,mid,Ribera del Duero,5.0,3.0,71.61561264822134
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2017,4.6,0.5714285714285705,116.187943627787,mid,Ribera del Duero,5.0,3.0,61.53656126482213
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2018,4.6,0.5714285714285705,89.3,mid,Ribera del Duero,5.0,3.0,68.0088932806324
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2010,4.6,0.5714285714285705,438.9,mid,Rioja,4.0,3.0,43.50296442687747
Alion,Ribera del Duero,2017,4.6,0.5714285714285705,79.9,mid,Ribera del Duero,5.0,3.0,71.39328063241106
Vega Sicilia,Valbuena 5o,2004,4.6,0.5714285714285705,249.0,mid,Ribera del Duero,5.0,3.0,48.3201581027668
Dominio de Pingus,Flor de Pingus,2018,4.6,0.5714285714285705,129.95,mid,Ribera del Duero,5.0,3.0,58.96739130434783
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2019,4.6,0.5714285714285705,76.95,mid,Ribera del Duero,5.0,3.0,72.80138339920948
Vega Sicilia,Valbuena 5o,2000,4.6,0.5714285714285705,252.0,mid,Ribera del Duero,5.0,3.0,47.99901185770751
Vega Sicilia,Valbuena 5o,2002,4.6,0.5714285714285705,232.0,mid,Ribera del Duero,5.0,3.0,49.234189723320156
Bodega Numanthia,Termanthia,2012,4.6,0.5714285714285705,214.0,mid,Toro,5.0,3.0,50.22233201581028
Bodega Numanthia,Termanthia,2011,4.6,0.5714285714285705,205.0,mid,Toro,5.0,3.0,50.86462450592886
Carmelo Rodero,Pago De Valtarrena,2015,4.6,0.5714285714285705,49.95,low,Ribera del Duero,5.0,3.0,49.82233502538071
Emilio Moro,Malleolus de Sanchomartin,2011,4.6,0.5714285714285705,125.0,mid,Ribera del Duero,5.0,3.0,59.78260869565217
Vega Sicilia,Valbuena 5o,1999,4.6,0.5714285714285705,276.8,mid,Ribera del Duero,5.0,3.0,47.15909090909091
Emilio Moro,Malleolus de Valderramiro,2015,4.6,0.5714285714285705,75.0,mid,Ribera del Duero,5.0,3.0,74.11067193675889
Dominio de Pingus,Pingus,2010,4.6,0.5714285714285705,1359.75,high,Ribera del Duero,5.0,3.0,37.254901960784316
Pago de Carraovejas,Cuesta de Las Liebres,2010,4.6,0.5714285714285705,81.5,mid,Ribera del Duero,5.0,3.0,70.38043478260869
Dominio de Pingus,Pingus,2012,4.6,0.5714285714285705,890.0,mid,Ribera del Duero,5.0,3.0,40.884387351778656
Dominio del Bendito,El Titan del Bendito,2015,4.6,0.5714285714285705,43.5,low,Toro,5.0,3.0,55.45685279187818
Emilio Moro,Malleolus de Sanchomartin,2015,4.6,0.5714285714285705,99.0,mid,Ribera del Duero,5.0,3.0,64.57509881422925
Dominio de Pingus,Pingus,2013,4.6,0.5714285714285705,1198.72,high,Ribera del Duero,5.0,3.0,49.01960784313725
Bodegas Mauro,Terreus Paraje de Cueva Baja,2015,4.6,0.5714285714285705,94.95,mid,Castilla y Leon,4.0,2.0,65.9584980237154
Bodegas Mauro,Terreus Paraje de Cueva Baja,2016,4.6,0.5714285714285705,89.0,mid,Castilla y Leon,4.0,2.0,68.15711462450594
Dominio de Pingus,Pingus,2005,4.6,0.5714285714285705,1785.96,high,Ribera del Duero,5.0,3.0,18.627450980392158
Vinedos de Paganos,La Nieta,2017,4.6,0.5714285714285705,108.21,mid,Rioja,4.0,3.0,63.11758893280632
Artadi,Vina El Pison,2006,4.6,0.5714285714285705,391.5,mid,Vino de Espana,4.0,2.0,44.14525691699605
Dominio de Pingus,Pingus,1998,4.6,0.5714285714285705,1350.0,high,Ribera del Duero,5.0,3.0,38.23529411764706
Bodegas Roda,Cirsion Rioja,2007,4.6,0.5714285714285705,145.0,mid,Rioja,4.0,3.0,56.916996047430835
Bodegas Roda,Cirsion Rioja,2012,4.6,0.5714285714285705,173.38,mid,Rioja,4.0,3.0,53.92786561264822
Bodega Contador (Benjamin Romeo),Contador Rioja,2011,4.6,0.5714285714285705,220.0,mid,Rioja,4.0,3.0,49.82707509881423
Marques de Murrieta,Dalmau Rioja,2017,4.6,0.5714285714285705,85.7,mid,Rioja,4.0,3.0,69.09584980237153
Vega Sicilia,Unico,1965,4.6,0.5714285714285705,2884.04,high,Ribera del Duero,5.0,3.0,13.725490196078432
Sierra Cantabria,Finca el Bosque,2015,4.6,0.5714285714285705,79.9,mid,Rioja,4.0,3.0,71.39328063241106
Vina Sastre,Pago de Santa Cruz,2018,4.6,0.5714285714285705,68.7,mid,Ribera del Duero,5.0,3.0,77.44565217391303
Dominio de Pingus,Pingus,2003,4.6,0.5714285714285705,1638.95,high,Ribera del Duero,5.0,3.0,22.549019607843135
Mas d'en Gil,Clos Fonta Priorat,2004,4.6,0.5714285714285705,150.0,mid,Priorato,4.0,3.0,56.15118577075099
Carmelo Rodero,Pago De Valtarrena,2016,4.6,0.5714285714285705,48.95,low,Ribera del Duero,5.0,3.0,51.04060913705584
Pago de Los Capellanes,Parcela El Picon Tinto,2014,4.6,0.5714285714285705,109.41,mid,Ribera del Duero,5.0,3.0,63.01877470355731
Emilio Moro,Malleolus de Sanchomartin,2014,4.6,0.5714285714285705,119.0,mid,Ribera del Duero,5.0,3.0,61.091897233201585
Vega Sicilia,Valbuena 5o,1992,4.6,0.5714285714285705,195.0,mid,Ribera del Duero,5.0,3.0,51.80335968379446
Dominio de Pingus,Pingus,2014,4.6,0.5714285714285705,1595.0,high,Ribera del Duero,5.0,3.0,24.50980392156863
Artadi,Vina El Pison,2010,4.6,0.5714285714285705,519.55,mid,Vino de Espana,4.0,2.0,42.76185770750988
Pago de Los Capellanes,Parcela El Picon Tinto,2012,4.6,0.5714285714285705,89.0,mid,Ribera del Duero,5.0,3.0,68.15711462450594
Artadi,Vina El Pison,2011,4.6,0.5714285714285705,511.9,mid,Vino de Espana,4.0,2.0,42.86067193675889
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1999,4.6,0.5714285714285705,980.0,mid,Priorato,4.0,3.0,40.291501976284586
Casa Castillo,Cuvee N Vinas Viejas,2015,4.6,0.5714285714285705,73.0,mid,Jumilla,4.0,3.0,75.64229249011858
